Episode,Throughput_Mbps,JFI,MARL_Reward,Active_APs,Eval_Throughput_Mbps,Eval_JFI,Eval_Active_APs,Eval_Mode
273,425.55,0.586,0.67,5.17,,,,
274,396.58,0.576,0.65,4.68,,,,
275,421.75,0.607,0.68,5.37,418.06,0.598,4.95,fixed
276,429.9,0.586,0.68,5.14,,,,
277,403.6,0.592,0.66,5.1,,,,
278,416.07,0.593,0.67,4.78,,,,
279,406.74,0.543,0.64,4.3,,,,
280,434.13,0.658,0.71,5.94,,,,
281,433.65,0.625,0.7,5.36,,,,
282,416.51,0.593,0.67,4.96,,,,
283,416.01,0.603,0.67,5.17,,,,
284,420.0,0.62,0.68,5.26,,,,
285,416.81,0.594,0.67,5.05,,,,
286,432.56,0.642,0.7,5.65,,,,
287,442.65,0.634,0.71,5.27,,,,
288,451.52,0.636,0.72,5.83,,,,
289,436.7,0.613,0.69,5.45,,,,
290,447.56,0.682,0.73,5.7,,,,
291,434.62,0.595,0.69,4.97,,,,
292,391.65,0.484,0.6,3.85,,,,
293,427.7,0.597,0.68,5.32,,,,
294,395.56,0.562,0.64,4.69,,,,
295,416.01,0.633,0.69,5.21,,,,
296,397.44,0.457,0.6,3.59,,,,
297,444.43,0.666,0.72,5.8,,,,
298,391.95,0.516,0.62,4.12,,,,
299,439.59,0.602,0.69,5.38,,,,
300,433.91,0.593,0.68,5.09,440.96,0.671,5.94,fixed
301,434.12,0.627,0.7,5.92,,,,
302,440.65,0.67,0.72,5.82,,,,
303,431.93,0.604,0.69,5.42,,,,
304,412.64,0.612,0.68,5.31,,,,
305,422.03,0.585,0.67,5.19,,,,
306,418.41,0.602,0.68,5.19,,,,
307,382.35,0.503,0.61,4.21,,,,
308,420.12,0.605,0.68,5.01,,,,
309,404.75,0.595,0.66,5.21,,,,
310,411.41,0.605,0.67,5.26,,,,
311,426.95,0.593,0.68,5.22,,,,
312,420.38,0.61,0.68,4.98,,,,
313,434.18,0.626,0.7,5.34,,,,
314,440.0,0.655,0.71,5.28,,,,
315,422.93,0.623,0.69,5.57,,,,
316,394.95,0.564,0.64,4.71,,,,
317,418.23,0.581,0.67,4.98,,,,
318,392.09,0.544,0.63,4.48,,,,
319,406.5,0.588,0.66,5.18,,,,
320,420.25,0.609,0.68,5.36,,,,
321,395.79,0.626,0.67,4.97,,,,
322,425.66,0.626,0.69,5.6,,,,
323,419.84,0.589,0.67,5.31,,,,
324,406.42,0.541,0.64,4.66,,,,
325,391.27,0.544,0.63,4.38,438.76,0.657,5.78,fixed
326,419.06,0.598,0.67,5.33,,,,
327,415.38,0.575,0.66,5.12,,,,
328,413.79,0.603,0.67,5.1,,,,
329,434.92,0.657,0.71,5.43,,,,
330,404.27,0.609,0.67,5.31,,,,
331,401.08,0.554,0.64,4.45,,,,
332,401.06,0.609,0.66,5.12,,,,
333,403.7,0.574,0.65,4.71,,,,
334,403.33,0.601,0.66,4.78,,,,
335,429.01,0.647,0.7,5.53,,,,
336,425.63,0.594,0.68,5.06,,,,
337,420.83,0.584,0.67,5.09,,,,
338,421.77,0.602,0.68,5.01,,,,
339,447.93,0.635,0.71,5.45,,,,
340,397.83,0.574,0.65,4.95,,,,
341,428.35,0.641,0.7,5.38,,,,
342,426.97,0.644,0.7,5.44,,,,
343,417.77,0.636,0.69,5.7,,,,
344,401.97,0.584,0.65,4.73,,,,
345,422.66,0.62,0.69,5.43,,,,
346,439.52,0.627,0.7,5.76,,,,
347,440.04,0.636,0.71,5.67,,,,
348,444.29,0.657,0.72,5.73,,,,
349,413.51,0.585,0.66,4.84,,,,
350,433.34,0.624,0.7,5.02,414.05,0.584,4.83,fixed
351,415.05,0.594,0.67,4.9,,,,
352,429.02,0.646,0.7,5.39,,,,
353,422.18,0.573,0.67,5.05,,,,
354,411.19,0.581,0.66,4.83,,,,
355,435.88,0.625,0.7,5.66,,,,
356,446.23,0.647,0.72,5.76,,,,
357,424.94,0.63,0.69,5.42,,,,
358,411.14,0.571,0.66,4.87,,,,
359,419.35,0.616,0.68,5.02,,,,
360,397.52,0.596,0.66,4.97,,,,
361,406.79,0.511,0.63,3.98,,,,
362,442.14,0.627,0.7,5.35,,,,
363,405.76,0.578,0.66,4.96,,,,
364,428.42,0.577,0.67,4.92,,,,
