Episode,Throughput_Mbps,JFI,MARL_Reward,Active_APs,Eval_Throughput_Mbps,Eval_JFI,Eval_Active_APs
257,495.48,0.665,0.84,5.99,,,
258,472.14,0.625,0.81,5.96,,,
259,492.38,0.643,0.83,5.98,,,
260,477.22,0.649,0.82,5.92,,,
261,486.31,0.635,0.82,6.0,,,
262,494.84,0.626,0.83,6.0,,,
263,489.41,0.651,0.83,5.96,,,
264,480.91,0.639,0.82,5.99,,,
265,480.03,0.648,0.82,6.0,,,
266,481.94,0.637,0.82,5.99,,,
267,496.98,0.666,0.84,5.99,,,
268,494.32,0.626,0.83,5.99,,,
269,490.7,0.636,0.83,6.0,,,
270,486.84,0.646,0.83,5.98,,,
271,495.33,0.666,0.84,5.99,,,
272,494.17,0.654,0.83,5.97,,,
273,495.32,0.65,0.83,5.99,,,
274,491.27,0.646,0.83,5.99,,,
275,497.33,0.67,0.84,6.0,,,
276,489.23,0.646,0.82,5.92,,,
277,475.67,0.631,0.81,5.96,,,
278,490.62,0.653,0.83,5.97,,,
279,496.63,0.667,0.84,5.98,,,
280,498.88,0.667,0.84,5.99,,,
281,497.26,0.664,0.84,5.98,,,
282,487.7,0.648,0.83,5.98,,,
283,491.35,0.661,0.83,5.92,,,
284,481.64,0.628,0.81,5.87,,,
285,444.18,0.579,0.71,5.15,,,
286,493.89,0.638,0.83,6.0,,,
287,490.59,0.655,0.83,6.0,,,
288,494.64,0.637,0.83,5.98,,,
289,492.44,0.654,0.83,5.98,,,
290,493.77,0.66,0.83,5.98,,,
291,501.12,0.663,0.84,5.99,,,
292,492.4,0.632,0.82,5.93,,,
293,481.63,0.628,0.79,5.67,,,
294,495.84,0.663,0.83,5.96,,,
295,497.03,0.66,0.84,5.99,,,
296,488.54,0.659,0.83,5.98,,,
297,497.82,0.664,0.84,6.0,,,
298,495.47,0.659,0.84,5.99,,,
299,492.7,0.663,0.84,6.0,,,
300,491.32,0.648,0.83,5.95,429.77,0.658,5.96
301,493.81,0.656,0.83,5.93,,,
302,488.65,0.647,0.83,6.0,,,
303,490.5,0.642,0.82,5.95,,,
304,491.82,0.656,0.83,5.95,,,
305,489.6,0.654,0.83,6.0,,,
306,494.65,0.649,0.83,5.99,,,
307,485.77,0.654,0.83,5.99,,,
308,490.95,0.636,0.83,5.99,,,
