Episode,Throughput_Mbps,JFI,MARL_Reward,Active_APs,Eval_Throughput_Mbps,Eval_JFI,Eval_Active_APs,Eval_Mode
211,380.36,0.505,0.61,4.37,,,,
212,367.84,0.42,0.55,3.34,,,,
213,345.49,0.462,0.55,3.8,,,,
214,341.38,0.391,0.51,3.86,,,,
215,395.18,0.541,0.63,4.61,,,,
216,362.06,0.48,0.58,4.57,,,,
217,388.57,0.552,0.63,4.73,,,,
218,370.18,0.479,0.59,4.16,,,,
219,405.09,0.508,0.62,4.42,,,,
220,397.29,0.477,0.6,4.37,,,,
221,356.24,0.426,0.55,3.82,,,,
222,371.75,0.463,0.58,3.91,,,,
223,358.1,0.496,0.58,4.39,,,,
224,406.63,0.557,0.65,5.34,,,,
225,408.32,0.488,0.62,4.16,396.4,0.546,4.78,fixed
226,374.68,0.47,0.58,4.43,,,,
227,381.95,0.538,0.62,4.89,,,,
228,406.0,0.554,0.65,4.94,,,,
229,380.97,0.522,0.61,4.68,,,,
230,366.67,0.471,0.58,4.0,,,,
231,389.26,0.528,0.62,4.85,,,,
232,399.15,0.526,0.63,4.67,,,,
233,383.92,0.501,0.6,4.38,,,,
234,366.46,0.482,0.58,3.96,,,,
235,414.44,0.483,0.62,4.5,,,,
236,403.53,0.556,0.65,4.9,,,,
237,382.31,0.475,0.59,4.53,,,,
238,365.37,0.495,0.59,4.16,,,,
239,391.99,0.529,0.62,4.83,,,,
240,390.43,0.515,0.62,4.25,,,,
241,261.98,0.324,0.42,2.71,,,,
242,331.68,0.357,0.49,2.43,,,,
243,368.54,0.447,0.57,3.79,,,,
244,382.89,0.493,0.6,4.5,,,,
245,322.87,0.397,0.51,3.03,,,,
246,362.86,0.5,0.59,4.24,,,,
247,354.66,0.452,0.56,3.72,,,,
248,367.2,0.505,0.59,4.16,,,,
249,372.95,0.449,0.57,3.71,,,,
250,350.36,0.359,0.5,2.64,326.79,0.351,2.64,fixed
251,336.96,0.385,0.51,3.01,,,,
252,335.9,0.297,0.45,1.97,,,,
253,366.34,0.488,0.58,3.96,,,,
254,310.12,0.386,0.49,3.15,,,,
255,389.88,0.43,0.58,3.1,,,,
256,350.89,0.338,0.49,2.41,,,,
257,371.25,0.456,0.57,3.83,,,,
258,363.24,0.426,0.55,3.06,,,,
259,334.1,0.319,0.47,2.21,,,,
260,360.6,0.395,0.53,3.08,,,,
261,358.75,0.429,0.55,3.41,,,,
262,352.75,0.409,0.53,3.17,,,,
263,364.89,0.485,0.58,3.91,,,,
264,354.78,0.346,0.5,2.53,,,,
265,350.71,0.397,0.53,3.2,,,,
266,360.34,0.319,0.48,2.13,,,,
267,345.86,0.405,0.53,3.61,,,,
268,341.21,0.382,0.51,2.79,,,,
269,336.48,0.43,0.53,3.65,,,,
270,352.48,0.413,0.54,3.23,,,,
271,360.83,0.435,0.55,3.57,,,,
272,397.26,0.473,0.6,3.65,,,,
273,409.58,0.518,0.63,4.3,,,,
274,319.58,0.404,0.5,3.25,,,,
275,384.06,0.512,0.61,4.21,391.29,0.523,3.96,fixed
276,348.33,0.334,0.49,2.39,,,,
277,363.8,0.438,0.56,3.19,,,,
278,354.8,0.469,0.57,3.73,,,,
279,364.52,0.485,0.58,3.91,,,,
280,356.66,0.478,0.58,4.01,,,,
281,355.59,0.431,0.55,3.75,,,,
282,379.11,0.41,0.55,3.22,,,,
283,370.72,0.493,0.59,4.23,,,,
284,357.5,0.459,0.56,3.62,,,,
285,375.73,0.447,0.58,3.69,,,,
286,379.75,0.479,0.59,4.1,,,,
287,374.54,0.488,0.59,3.9,,,,
288,336.43,0.315,0.47,2.37,,,,
289,316.52,0.316,0.46,2.62,,,,
290,321.03,0.311,0.45,2.29,,,,
291,398.92,0.412,0.58,3.04,,,,
292,343.49,0.368,0.5,2.95,,,,
293,348.2,0.379,0.52,3.2,,,,
294,345.95,0.41,0.53,3.4,,,,
295,330.44,0.364,0.49,2.87,,,,
296,402.05,0.452,0.59,3.96,,,,
297,360.09,0.41,0.54,3.63,,,,
298,349.94,0.426,0.54,3.84,,,,
299,399.52,0.424,0.58,3.32,,,,
300,379.18,0.483,0.59,4.1,371.32,0.451,3.85,fixed
301,374.56,0.445,0.57,3.84,,,,
302,360.17,0.468,0.57,3.84,,,,
303,355.12,0.452,0.56,3.89,,,,
304,358.22,0.447,0.56,3.84,,,,
305,372.95,0.463,0.58,3.96,,,,
